UDID,Overtitle,Main-title,Description,Canonical-url,Entry-point,Relevant-ip-right,Estimate-cost,Estimated-effort,Resolution-rate,Archectype ,Provider,Publication-date,Last-updated,Additional-disclaimer,Keywords,Notes
101-1,Infringement 101,How to avoid infringing others' intellectual property,"Protect your business by searching IP databases before launching, creating original content, and seeking permission before using others' intellectual property.",https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-how-avoid-infringing-others-intellectual-property,"""Infringement 101""","""Any IP right""",Null,Null,Null,Government Service,IP Australia,4/07/2025,26/03/2026,Null,"""Intellectual property rights"", ""Infringement 101"", ""How To Avoid Infringing Others' Intellectual Property"", ""IP Databases Launching"", ""Property Protect""",
101-10,Infringement 101,What is IP Infringement ,"IP infringement occurs when someone uses a protected invention, brand, design, or creative work without the owner's permission.",https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-what-ip-infringement,"""Infringement 101""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""",Null,Null,Null,Self-Help Strategy,Self-help,4/07/2025,26/03/2026,Null,"""Trade marks"", ""Infringement 101"", ""What Is IP Infringement"", ""Invention Brand Design"", ""Occurs Uses Protected""",
101-2,Infringement 101,Design infringement,Using a registered design without permission may infringe if the overall visual impression is substantially similar to the protected product.,https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-design-infringement,"""Infringement 101""","""Designs""",Null,Null,Null,Government Service,IP Australia,4/07/2025,26/03/2026,Null,"""Designs"", ""Infringement 101"", ""Design Infringement"", ""Substantially Similar Protected"", ""Using Registered Design""",
101-3,Infringement 101,Patent infringement,Using a patented invention without permission may infringe if it includes all the essential elements described in the patent's claims.,https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-patent-infringement,"""Infringement 101""","""Patents""",Null,Null,Null,Self-Help Strategy,Self-help,4/07/2025,26/03/2026,Null,"""Patents"", ""Infringement 101"", ""Patent Infringement"", ""Patented Invention"", ""Infringe Includes Essential""",
101-4,Infringement 101,Plant breeder's rights (PBR) infringement,"Using, reproducing, or selling a protected plant variety without the owner's permission may constitute PBR infringement in Australia.",https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-pbr-infringement,"""Infringement 101""","""PBR"" ",Null,Null,Null,Government Service,Self-help,4/07/2025,26/03/2026,Null,"""Plant breeder's rights"", ""Infringement 101"", ""Plant Breeder's Rights PBR Infringement"", ""Selling Protected Plant"", ""Plant Variety""",
101-5,Infringement 101,Copyright infringement,"Using someone's original creative work without permission may infringe copyright, even if only a small but significant part is copied.",https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-copyright-infringement,"""Infringement 101""","""Copyright"" ""Trade Marks""  ""Unregistered tm""",Null,Null,Null,Self-Help Strategy,"Copyright Council, Arts Law Australia",4/07/2025,26/03/2026,Null,"""Copyright ""trade Mark"" ""unregistered-tm""""",
101-6,Infringement 101,Unregistered trade marks,"Even without registration, your brand may be protected if a similar mark causes consumer confusion or damages your business's reputation.",https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-unregistered-trade-marks,"""Infringement 101""","""Trade Marks"" ""Unregistered tm""",Null,Null,Null,Self-Help Strategy,Self-help,4/07/2025,26/03/2026,Null,"""Trade Mark ""unregistered-tm""""",
101-7,Infringement 101,What to do if someone infringes your IP,"If someone uses your IP without permission, document the infringement, review your rights, and consider your options before taking action.",https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-what-do-if-someone-infringes-your-ip,"""Infringement 101""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-help,4/07/2025,26/03/2026,Null,"""Intellectual property rights"", ""Infringement 101"", ""What To Do If Someone Infringes Your IP"", ""IP Permission Document"", ""Consider Options""",
101-8,Infringement 101,Trade mark infringement,Using a similar brand name or logo for the same or related goods and services without permission may infringe a registered trade mark.,https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-trade-mark-infringement,"""Infringement 101""","""Trade Marks"" ""Unreistered tm"" ",Null,Null,Null,Self-Help Strategy,Self-help,4/07/2025,26/03/2026,Null,"""Trade Mark ""unregistered-tm""""",
101-9,Infringement 101,Addressing Overseas Infringement,"Australian IP rights don't extend overseas, so enforcing them internationally requires local registration and careful cost-benefit planning.",https://ipfirstresponse.ipaustralia.gov.au/options/infringement-101-addressing-overseas-infringement,"""Infringement 101""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-help,4/07/2025,26/03/2026,Null,"""Intellectual property rights"", ""International disputes"", ""Infringement 101"", ""Addressing Overseas Infringement"", ""Rights Don Extend""",
A1003,Arts Law Centre of Australia,Access help tailored australian artists,Access free resources and low- or no-cost legal advice for Australian artists and arts organisations. ,https://ipfirstresponse.ipaustralia.gov.au/options/access-help-tailored-australian-artists,"""Enforcement"",""Accused"", ""Proactive"", ""IP Basics"""," ""Copyright""",Null,Null,Null,Non-Government Third-Party Authority,Self-Help,23/02/2026,23/02/2026,Null,"""Australian creatives"",""Artists"", ""Copyright infringment"", ""Australian copyright information"" ",
A1004,Australian Copyright Council,Access help tailored those involved australian creative industries,Access resources and no-cost written legal advice to understand copyright law and its application to all art forms.,https://ipfirstresponse.ipaustralia.gov.au/options/access-help-tailored-those-involved-australian-creative-industries,"""Enforcement"",""Accused"", ""Proactive"", ""IP Basics"""," ""Copyright""",Null,Null,Null,Non-Government Third-Party Authority,Self-Help,23/02/2026,23/02/2026,Null,"""Free legal advice for creative industries"", ""Copyright infringment"", ""Australian copyright information"" ",
A1007,AI and IP rights,Considerations when using artificial intelligence to create IP,"Things to think about before relying on artificial intelligence tools to help create content, designs or inventions for your business.",https://ipfirstresponse.ipaustralia.gov.au/options/considerations-when-using-artificial-intelligence-create-ip-0,"""IP Basics"", ""Proactive""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright""",Null,Null,Null,Self-Help Strategy,Self-Help,23/02/2026,23/02/2026,Null,"""AI and LLMs"", ""Using AI to create IP"", ""Risks of using AI"", ""Ownership of AI content"", ""AI and IP infringement""",
A1009,Patent statuses,Enforcing 'filed' patent,Why a patent application which has only been filed cannot be used to enforce IP rights against others yet,https://ipfirstresponse.ipaustralia.gov.au/options/enforcing-filed-patent,"""Enforcement"", ""Accused""","""Patent""",Null,Null,Null,Self-Help Strategy,Self-Help,23/02/2026,23/02/2026,"Filing a patent is just the first step in a long process, and does not guarantee the application will ultimatly be granted. Taking enforcement action at this stage requires advice from an IP professional.","""meaning of 'filed' for patents"", ""filed vs granted patents"", ""Enforcing patents before examination"", ""When you can enforce your patent"", ""Patent status meaning""",
A1010,IP laws,Familiarise yourself IP laws,"Explains the key laws, regulations and rules that form the legal backbone of IP rights in Australia.",https://ipfirstresponse.ipaustralia.gov.au/options/familiarise-yourself-ip-laws,"""Proactive""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"",  ""Unregistered-tm""",Null,Null,Null,Self-Help Strategy,Self-Help,23/02/2026,23/02/2026,Null,"""Understanding legislation"", ""IP rules and regulations"", ""Government authority for IP"", ""manual of practive and procedure"", ""Acts of parliament""",
A1025,Expedited examination,Request early examination your application ip rights,"Request that IP Australia examines your application more quickly, to help clarify the validity of your proposed IP right sooner.",https://ipfirstresponse.ipaustralia.gov.au/options/request-early-examination-your-application-ip-rights,"""Enforcement"",""Accused"", 'Proactive""","""Patent"",""Trade mark"", ""Design""",Null,Null,Null,Government Service,IP Australia,23/02/2026,23/02/2026,Null,"""faster examination"", ""register or grant IP sooner"", ""checking validity of you IP right earlier"", ""IP Australia process""",
A1027,Contacting IP Australia,How IP Australia contact centres can assist you,"IP Australia offers assistance across a range of intellectual property matters. However, there are certain matters that IP Australia is not permitted to assist with. Find out if we can assist you before you call. ",https://ipfirstresponse.ipaustralia.gov.au/options/how-ip-australia-contact-centres-can-assist-you,"""IP Basics""","""Any IP right""",Null,Null,Null,Government Service,IP Australia,29/04/2026,29/04/2026,Null,"""talk to a human"", ""need help"", ""I want to check"", ""What IP Australia can help with"", ""What IP Australia cannot help with"", ""online service help"", ""application process"", ""questions about fees"", ""confirming corrospondence came from IP Australia"", ""understanding IP Australia processes""",
B1000,Letter of demand,Receiving a letter of demand ,Understanding what you can do when you receive a letter of demand / cease and desist.  ,https://ipfirstresponse.ipaustralia.gov.au/options/receiving-letter-demand,"""Accused"", ","""Any IP right""",Variable,Days,Null,Self-Help Strategy,Self-Help,1/07/2025,29/01/2026,"Before responding to a letter of demand, you may want to show the letter and explain the situation to a qualified IP legal professional  who can explain your  who can explain your position and outline possible options.   ","""Intellectual property rights"", ""Letter of demand"", ""Cease and desist"", ""Receiving A Letter Of Demand"", ""Legal response""",
B1001,Gauge the situation  ,Choose not to respond immediately ,When to delay responding to groundless IP infringement claims and how to gather evidence for future defence.,https://ipfirstresponse.ipaustralia.gov.au/options/choose-not-respond-immediately," ""Accused""","""Any IP right""","Free, plus optional professional fees",Days,Null,Self-Help Strategy,Self-Help,1/07/2025,2/10/2025,Null,"""Intellectual property rights"", ""Evidence gathering"", ""Gauge the situation"", ""Not To Respond Immediately"", ""Initial assessment""",
B1003,De-escalate,Pause use of contested IP until resolution,Evaluate the accuser’s demands and consider stopping use of the contested IP to avoid escalation.,https://ipfirstresponse.ipaustralia.gov.au/options/pause-use-contested-ip-until-resolution,"""Accused""","""Any IP right""",Variable,Days to weeks+,Variable,Self-Help Strategy,Self-Help,1/07/2025,2/10/2025,Please note: Ceasing use of the contested IP alone may not be sufficient to prevent further escalation. It can also have negative consequences on your ability to respond to allegations of infringement or be seen as an admission of liability. Please consider carefully if you want to undertake this action and are fully aware of the risks involved. An IP lawyer or IP attorney can help you assess the strength of the allegations made against you and whether ceasing use of the contested IP is in your best interests. ,"""Intellectual property rights"", ""Stop using contested IP"", ""De-escalate"", ""Use Of Contested IP"", ""Use Contested IP""",
B1004,IP attorney or lawyer  ,Obtain legal advice on an accusation of infringment,Seek expert advice on how to respond to allegations of IP infringement ,https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-accusation-infringement," ""Accused"" ","""Any IP right""","$500 - $2,000 per hour",Days to weeks+,Variable,Commercial Third Party Service,Legal service provider,1/07/2025,2/10/2025,Null,"""Intellectual property rights"", ""Legal advice"", ""IP Attorney Or Lawyer"", ""Legal Advice On An Accusation Of Infringment"", ""Expert Advice""",
B1005,Apply for a trade mark,Register your trade mark,Apply to IP Australia for a registered trade mark to secure exclusive rights to your brand  to reinforce your defence.,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-trade-mark,"""Accused""","""Trade mark""",$330 per class,Hours (to apply),Approximately 75% of trade mark applications achieve registration ,Government Service,IP Australia,1/07/2025,5/09/2025,Null,"""Trade marks"", ""Trade mark registration"", ""Apply For A Trade Mark"", ""Your Trade Mark"", ""IP Australia Registered""",
B1006,Opposition process,Respond to an opposition filed against your trade mark,How to respond when someone has opposed your trade mark application,https://ipfirstresponse.ipaustralia.gov.au/options/respond-opposition-filed-against-your-trade-mark,"""Accused""","""Trade mark"", ""Unregistered-tm""","$650+, plus legal fees",Weeks to months,1-3% of trade marks are opposed,Government Service,IP Australia,1/07/2025,5/09/2025,Null,"""Trade marks"", ""Opposition proceedings"", ""Opposition Process"", ""An Opposition Filed Against Your Trade Mark"", ""Filed Trade Mark""",
B1007,Opposition process,Respond to an opposition filed against your patent,How to respond when someone has opposed your patent application,https://ipfirstresponse.ipaustralia.gov.au/options/respond-opposition-filed-against-your-patent,"""Accused""","""Patent""","$1,200+, plus legal fees",Weeks to months,IP Australia published 54 decisions in 2024 and 66 decisions in 2023.,Government Service,IP Australia,1/07/2025,5/09/2025,Null,"""Patents"", ""Opposition proceedings"", ""Patent application"", ""Opposition Process"", ""An Opposition Filed Against Your Patent""",
B1010,Report criminal activities ,"Report a scam, fraud or risk to public interest","Notify authorities about scams, counterfeits, or fraudulent activities that pose a risk to public safety or trust.",https://ipfirstresponse.ipaustralia.gov.au/options/report-scam-fraud-or-risk-public-interest,"""Accused""","""Any dispute""",Free,Varibale,IP crimes are rarely prosecuted,Government Service,"ACCC, ASCS, AFP, TGA, IP Australia",1/07/2025,2/10/2025,Null,"""IP dispute"", ""Scams and fraud reporting"", ""Counterfeit goods"", ""Report criminal activity"", ""Report Criminal Activities""",
B1012,Informal contact,De-escalate and resolve disputes via conversation,Engage in an informal conversation to resolve IP disputes,https://ipfirstresponse.ipaustralia.gov.au/options/informal-contact-responding-accusation,"""Accused""","""Any IP right""",Free,Days to weeks,Variable,Self-Help Strategy,Self-Help,1/07/2025,26/03/2026,Null,"""Intellectual property rights"", ""Informal resolution"", ""Informal Contact"", ""And Resolve Disputes Via Conversation"", ""Informal Conversation""",
B1013,Court,Respond to an unjustified threat ,Use the court to respond to a legally unjustified demand or threat ,https://ipfirstresponse.ipaustralia.gov.au/options/respond-unjustified-threat,"""Accused""","""Any IP right""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority,Self-Help,1/07/2025,2/10/2025,It is always prudent to seek legal advice before deciding whether to start legal action. There are often options other than court for responding to an unjustified threat — like writing back to the other party to clarify your position — before you decide whether to start legal action against them. An IP lawyer or IP attorney can help you decide on the best way to respond. ,"""Intellectual property rights"", ""Unjustified threats"", ""Court proceedings"", ""Court"", ""An Unjustified Threat""",
B1014,Negotiation,Reach an agreement with the accusing party,Negotiate a mutually acceptable commercial or financial resolution. ,https://ipfirstresponse.ipaustralia.gov.au/options/reach-agreement-accusing-party,"""Accused""","""Any IP right""",Variable legal fees,Days to weeks,Over 90% of commercial disputes settle outside court or arbitration,Self-Help Strategy,Self-Help,1/07/2025,3/10/2025,Null,"""Intellectual property rights"", ""Negotiation"", ""Contract terms"", ""An Agreement With The Accusing Party"", ""Negotiate Mutually""",
B1015,Enforcing to defend ,"Assert your rights, as a response to an accusation  ","If you believe that you are genuinely in the right to retain your IP, gather evidence and defend your right to use it.",https://ipfirstresponse.ipaustralia.gov.au/options/assert-your-rights-response-accusation,"""Accused""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,1/07/2025,22/01/2026,Null,"""Intellectual property rights"", ""Evidence gathering"", ""Enforcing To Defend"", ""Your Rights As A Response To An Accusation"", ""Evidence Defend Right""",
B1016,International disputes,Considerations when responding to international accusations,Find the right assistance for responding to accusations of IP infringement happening outside of Australia. ,https://ipfirstresponse.ipaustralia.gov.au/options/considerations-when-responding-international-accusations,"""Accused""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,1/07/2025,1/10/2025,Null,"""Intellectual property rights"", ""International disputes"", ""When Responding To International Accusations"", ""International Accusations Right"", ""Considerations Responding International""",
B1017,Design certification ,Request IP Australia confirms a registered design is valid,Request IP Australia examines and certifies a registered design to secure full protection,https://ipfirstresponse.ipaustralia.gov.au/options/request-ip-australia-confirms-registered-design-valid,"""Enforcement"", ""Accused"", ""Proactive""","""Design""",$500,Hours (to request),Approximately 20% of designs are certified,Government Service,IP Australia,1/07/2025,5/09/2025,"You can only take formal action to protect your design right — like sending a letter of demand (or cease-and-desist letter) — after your design is certified. A threat to start infringement or similar proceedings against another person in respect of a design will be an unjustified threat if the design has not been certified. A person who receives such a threat can start legal action against the person making the threat. For more information, please see Unjustified Threats.","""Designs"", ""Design certification"", ""Design validity check"", ""IP Australia Confirms A Registered Design Is Valid"", ""Request IP""",
