UDID,HowTo_Name,Step_Name,Step_Description
C1019,How to proceed with DEVELOP A STRATEGY TO MANAGE YOUR IP,Conduct an IP Audit,"IP strategies can vary in its scope and complexity depending on a wide range of factors such as the number of IP assets involved, the size of your business and the composition of your IP portfolio. While businesses can take many different approaches in designing their IP strategies, a common starting point is conducting an 

IP audit

 to create a clear register of IP assets owned and used by your business."
D1039,How to proceed with Register your unregistered trade mark,Set Up Account and Check Trade Mark,"You will need to set up an account with IP Australia's Online Services. There is a 

step-by-step guide

 to applying for an Australian trade mark on our website.

You don't need a lawyer to apply. However, if you would like support in making your application, you can contact an IP professional such as a registered trade mark attorney via 

Find an IP attorney or firm | Trans-Tasman IP Attorneys Board

.

You will need an address for service in Australia. This just means a postal address where you can be reached.
Before applying, consider using TM Checker, a free online trade mark checking tool to check the registrability of your potential trade mark. TM Checker can be accessed here: 

TM Checker"
D1030,How to proceed with Seek a court order to prevent further damage while preparing for court.,Provide Strong Evidence,"Evidence of infringement. While the threshold for an urgent injunction is lower than for a final decision, you still need strong evidence outlining both the infringement and the urgency of the matter."
D1030,How to proceed with Seek a court order to prevent further damage while preparing for court.,Provide Urgency Evidence,Evidence of urgencyof the matter and the reason you need the other party to stop their activity immediately.
D1030,How to proceed with Seek a court order to prevent further damage while preparing for court.,Consult a Legal Practitioner,"Find a legal practitioner for advice and representation. Court proceedings can be a stressful, complicated process that can have serious impacts on you and your business. The vast majority of cases will utilise legal professionals/practitioners to help navigate the serious and complex matters and processes associated with court proceedings. Additionally, corporationsmustbe represented by a lawyer in civil proceedings in the courts."
B1013,How to proceed with Respond to an unjustified threat ,Evaluate Threat Validity,"Consider whether the threat is unjustified
A key starting point can be to check the IP right registration status of the accuser (except for copyright, which in Australia does not have a formal registration system). You can search the Australian IP registers to check whether they have a current (not pending or expired) registered IP right. For design rights, the status must be listed as 'certified' (not simply registered) before they can enforce their design.
Review your own use of the contested IP and consider whether this might amount to infringement.
It can be very difficult to determine whether a threat is unjustified as you will usually need to determine whether the allegations of infringement are accurate. An IP lawyer or IP attorney can help you with considering whether a threat is unjustified and how you might best respond.
Gather evidence
Keep evidence of the threat, including:"
B1013,How to proceed with Respond to an unjustified threat ,Gather threat documentation,copies of the threat and any related emails or letters
B1013,How to proceed with Respond to an unjustified threat ,Consult an IP Lawyer,"evidence of how the threat has affected (or might affect) your business.
Consider getting help from an IP lawyer
Strongly consider the value of speaking to an IP lawyer. An IP lawyer can review the evidence, provide legal advice and represent you in court if the threat cannot be resolved in some other way.
Going to court without legal representation is not advisable and, in some cases, a court will require that you have legal representation."
C1010,How to proceed with Inform online platforms that you have IP rights,Provide proof of registered right or pending application,"For most platforms, you would need a proof of a registered right (registration number and certificate) or evidence of a pending application."
C1010,How to proceed with Inform online platforms that you have IP rights,Create and Verify Marketplace Accounts,A customer account on each marketplace and verified contact details.
C1010,How to proceed with Inform online platforms that you have IP rights,Showcase Product Usage,Clear product images and descriptions that show how the IP is used.
C1010,How to proceed with Inform online platforms that you have IP rights,Identify Authorized Sellers,"A list of authorised sellers, if any, so the platform doesn't accidentally remove legitimate listings."
C1010,How to proceed with Inform online platforms that you have IP rights,Review and Confirm Alerts,Time allocated to review alerts and confirm or dispute flagged listings.
C1003,How to proceed with Identify and track your competitors' patents and activity,Verify IP and Market Regions,"Confirm your IP and market: Know what product or service you want to launch or protect and in which regions (particularly given the domestic nature of IP registrations), this is particularly of relevance if you hold multiple patents or hold patents across multiple jurisdictions (as you may also want to monitor overseas registrations)."
C1003,How to proceed with Identify and track your competitors' patents and activity,Describe Product Features,"Gather product or brand details: Describe your offering clearly to guide the search, particularly essential features that may differentiate your offering from the competitors. For example, you may benefit if you are able to identify the most relevant classification marks, or descriptions of your differentiating or inventive features, as it will streamline the searching process."
C1003,How to proceed with Identify and track your competitors' patents and activity,Define Search Parameters,"Decide on search scope: Domestic only, or international? Patent or trade mark focused?"
C1003,How to proceed with Identify and track your competitors' patents and activity,Choose Tools or Services,Select tools or professionals: Choose between do it yourself search tools or paid services.
C1003,How to proceed with Identify and track your competitors' patents and activity,Acknowledge Search Constraints,"Understand search limitations: Results may not be legally definitive; freedom to operate is not a guarantee that competitors and patents don't exist in that market, it is possible for patents to be missed in the search process."
C1003,How to proceed with Identify and track your competitors' patents and activity,Seek FTO Opinion,Consider advice: You may wish to seek an FTO opinion from a qualified IP professional.
C1003,How to proceed with Identify and track your competitors' patents and activity,Retain Documentation,"Keep records: Retain copies of search results, interpretations, and advice received."
