UDID,Headline_Alt,Influence_Priority,Influence_ID,Influence_URL
E1017,Disagreements about registration,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
CS1001,Notice of Objection,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1019,IP STRATEGY ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-2,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1039,Apply for a trade mark,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1009,Selling or licensing,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1030,Interim court injuction order,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1016,IP Disputes ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1013,Court,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1010,e-commerce registeries ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1003,Monitor competitors' IP,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1010,Letter of demand,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1024,Protecting your business,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1012,Informal contact,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1006,Mediation ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
Dxxxx,,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1022,World IP Organisation (WIPO) ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1057,Report IP crime or safety concerns,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1003,Costs of IP,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-3,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1001,Gauge the situation  ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1004,Before applying,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1011,Guage the situation  ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1007,Checking IP rights ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1014,Negotiation,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1006,Using IP in business,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1016,Opposition process,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
Dxxxx,,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1022,Free tools ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1004,Reinforce your right,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1000,Letter of demand,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1012,Complaints,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1025,Protecting your business,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1001,Business names,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
