UDID,Headline,Headline_Alt,Description,Stable_URL,Date_Published,Date_Modified,Geographic_Area,IP_Right_Name,IP_Right_Wikidata_URL,Service_Type,Service_Name,HowTo_Name,Service_Provider
E1017,What are the ways to challenge a decision IP Australia has made?,Disagreements about registration,"Learn how to challenge IP Australia's decisions effectively with step-by-step guidance on appeals, reviews, and legal options to protect your intellectual property rights.",https://ipfirstresponse.ipaustralia.gov.au/options/what-can-i-do-if-i-disagree-ip-australias-examination-decision,2025-09-11,2025-10-01,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,What are the ways to challenge a decision IP Australia has made?,,IP Australia
CS1001,The Toyota story: What can SMEs learn from Toyota’s approach to counterfeit products?,Notice of Objection,What can businesses do to protect themselves against importation of counterfeits that might jeopardise their brand and their products? The story of Toyota provides insight into their use of the ABF notice of objection scheme,https://ipfirstresponse.ipaustralia.gov.au/options/toyota-story-what-can-smes-learn-toyotas-approach-counterfeit-products,2025-08-29,2025-08-29,Australia,Design Right,https://www.wikidata.org/wiki/Q252799,GovernmentService,The Toyota story: What can SMEs learn from Toyota’s approach to counterfeit products?,,Australian Border Force
C1019,DEVELOP A STRATEGY TO MANAGE YOUR IP,IP STRATEGY ,"Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.",https://ipfirstresponse.ipaustralia.gov.au/options/develop-strategy-manage-your-ip,2025-07-28,2025-09-05,Australia,,,Article,DEVELOP A STRATEGY TO MANAGE YOUR IP,How to proceed with DEVELOP A STRATEGY TO MANAGE YOUR IP,Self-service
101-2,Design infringement,Infringement 101,"Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen",https://ipfirstresponse.ipaustralia.gov.au/options/design-infringement,2025-07-04,2026-01-22,Australia,Design Right,https://www.wikidata.org/wiki/Q252799,GovernmentService,Design infringement,,IP Australia
D1039,Register your unregistered trade mark,Apply for a trade mark,Strengthen your position as the registered owner of your trade mark in Australia,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-unregistered-trade-mark,2025-03-01,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Register your unregistered trade mark,How to proceed with Register your unregistered trade mark,IP Australia
E1009,"Can I buy, sell or license IP?",Selling or licensing,"Explore how to buy, sell, or license intellectual property effectively. Understand the processes and legal considerations for IP transactions.",https://ipfirstresponse.ipaustralia.gov.au/options/can-i-buy-sell-or-license-ip,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,"Can I buy, sell or license IP?",,Self-service
D1030,Seek a court order to prevent further damage while preparing for court.,Interim court injuction order,Lodge an interim injunction order through court,https://ipfirstresponse.ipaustralia.gov.au/options/Interim_Injunction,2025-02-28,2026-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Seek a court order to prevent further damage while preparing for court.,How to proceed with Seek a court order to prevent further damage while preparing for court.,Unknown
E1016,How can I deal with IP issues without going to court? ,IP Disputes ,"Discover effective strategies to resolve intellectual property disputes outside of court, saving time and resources while protecting your rights.",https://ipfirstresponse.ipaustralia.gov.au/options/how-can-i-deal-ip-issues-without-going-court,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,How can I deal with IP issues without going to court? ,,Unknown
B1013,Respond to an unjustified threat ,Court,Use the court to respond to a legally unjustified demand or threat,https://ipfirstresponse.ipaustralia.gov.au/options/respond-unjustified-threat,2025-07-01,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Respond to an unjustified threat ,How to proceed with Respond to an unjustified threat ,Unknown
C1010,Inform online platforms that you have IP rights,e-commerce registeries ,Register your IP with online platforms to access their enforcement tools.,https://ipfirstresponse.ipaustralia.gov.au/options/inform-online-platforms-you-have-ip-rights,2025-07-28,2025-09-05,Australia,,,Service,Inform online platforms that you have IP rights,How to proceed with Inform online platforms that you have IP rights,Unknown
C1003,Identify and track your competitors' patents and activity,Monitor competitors' IP,Monitor your competitors' activity to anticipate conflicts or opportunities.,https://ipfirstresponse.ipaustralia.gov.au/options/identify-and-track-patents-and-activity-your-competitors,2025-07-28,2026-01-23,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Identify and track your competitors' patents and activity,How to proceed with Identify and track your competitors' patents and activity,Self-service
D1010,Demand the other party stops infringing in writing,Letter of demand,Send a letter to infringing party notifying them of potential infringement,https://ipfirstresponse.ipaustralia.gov.au/options/demand-other-party-stops-infringing-writing,2025-02-28,2026-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Demand the other party stops infringing in writing,How to proceed with Demand the other party stops infringing in writing,Unknown
E1024,How does IP Australia fit in a broader business support context?,Protecting your business,"Explore how IP Australia integrates into the wider business support landscape, enhancing innovation and protecting intellectual property for businesses.",https://ipfirstresponse.ipaustralia.gov.au/options/how-does-ip-australia-compare-other-government-services,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,How does IP Australia fit in a broader business support context?,,Self-help
B1012,De-escalate and resolve disputes via conversation,Informal contact,Engage in an informal conversation to resolve IP disputes,https://ipfirstresponse.ipaustralia.gov.au/options/de-escalate-and-resolve-disputes-conversation,2025-07-01,2026-01-30,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,De-escalate and resolve disputes via conversation,How to proceed with De-escalate and resolve disputes via conversation,Self-service
D1006,Resolve IP issues with the help of a third party,Mediation ,Invite the other party to enter into mediation to agree to mutually acceptable agreement,https://ipfirstresponse.ipaustralia.gov.au/options/mediation,2025-03-01,2025-10-17,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Resolve IP issues with the help of a third party,How to proceed with Resolve IP issues with the help of a third party,Unknown
Dxxxx,Infringement101,,"Explore Infringement101 to understand intellectual property rights, identify infringement issues, and learn legal strategies to protect your creations effectively.",https://ipfirstresponse.ipaustralia.gov.au/options/Dxxxx,2026-02-06,2026-02-06,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Infringement101,,Unknown
D1022,Access international arbitration and mediation services,World IP Organisation (WIPO) ,Seek dispute resolution through the WIPO Arbitration and Mediation Center,https://ipfirstresponse.ipaustralia.gov.au/options/resolve-international-disputes,2025-03-01,2026-01-22,Australia,,,Service,Access international arbitration and mediation services,How to proceed with Access international arbitration and mediation services,Unknown
D1057,Prevent risks to public interest,Report IP crime or safety concerns,"Inform Government about risks to public health, crime, counterfeiting, frauds & scams.",https://ipfirstresponse.ipaustralia.gov.au/options/prevent-risks-public-interest,2025-02-28,2025-12-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,Prevent risks to public interest,,"TGA, Law Enforcement, ACCC, Scamwatch"
E1003,Why is this so expensive?,Costs of IP,"Discover the factors driving high costs, from production to market dynamics, and gain insights into why certain products or services are priced steeply.",https://ipfirstresponse.ipaustralia.gov.au/options/why-so-expensive,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Why is this so expensive?,,Self-service
